year,lab,harvest,scl_h,food_mt,total_landings,total_food
2004,Mariculture: animals,17346786.2,17346786.2,5697626.620992769,116563141.4,60945931.62775314
2004,Mariculture: plants,13839543.2,13839543.2,1383954.32,116563141.4,60945931.62775314
2004,Wild fisheries,85376812,70008985.84,53864350.68676037,116563141.4,60945931.62775314
2005,Mariculture: animals,18158968.7,18158968.7,6034673.409993595,117049474.5,60628297.727169365
2005,Mariculture: plants,14778092.8,14778092.8,1477809.28,117049474.5,60628297.727169365
2005,Wild fisheries,84112413,68972178.66000001,53115815.03717577,117049474.5,60628297.727169365
2006,Mariculture: animals,19257323.1,19257323.1,6467321.578685097,116169638.6,58779232.70552232
2006,Mariculture: plants,15592226.5,15592226.5,1559222.6500000001,116169638.6,58779232.70552232
2006,Wild fisheries,81320089,66682472.980000004,50752688.476837225,116169638.6,58779232.70552232
2007,Mariculture: animals,19991615.952,19991615.952,6763293.460113899,117661049.95199999,59218996.58022246
2007,Mariculture: plants,16268031,16268031,1626803.1,117661049.95199999,59218996.58022246
2007,Wild fisheries,81401403,66749150.46,50828900.02010856,117661049.95199999,59218996.58022246
2008,Mariculture: animals,20505120.191,20505120.191,7128992.683560999,118091295.79100001,59000085.09555815
2008,Mariculture: plants,17193736.6,17193736.6,1719373.6600000001,118091295.79100001,59000085.09555815
2008,Wild fisheries,80392439,65921799.980000004,50151718.75199715,118091295.79100001,59000085.09555815
2009,Mariculture: animals,21227403.753,21227403.753,7378601.309373903,119520319.903,59398832.49788329
2009,Mariculture: plants,18586884.15,18586884.15,1858688.415,119520319.903,59398832.49788329
2009,Wild fisheries,79706032,65358946.24,50161542.77350939,119520319.903,59398832.49788329
2010,Mariculture: animals,21667458.624,21667458.624,7492554.951579747,118873281.374,57820864.83017086
2010,Mariculture: plants,20080559.75,20080559.75,2008055.975,118873281.374,57820864.83017086
2010,Wild fisheries,77125263,63242715.660000004,48320253.90359112,118873281.374,57820864.83017086
2011,Mariculture: animals,22565494.8966,22565494.8966,8088012.945989615,126203000.4876,61715460.61303574
2011,Mariculture: plants,21699029.591,21699029.591,2169902.9591,126203000.4876,61715460.61303574
2011,Wild fisheries,81938476,67189550.32000001,51457544.70794612,126203000.4876,61715460.61303574
2012,Mariculture: animals,23775269.8185,23775269.8185,8689063.16001511,126862718.0495,60065331.57409527
2012,Mariculture: plants,24594707.231,24594707.231,2459470.7231,126862718.0495,60065331.57409527
2012,Wild fisheries,78492741,64364047.620000005,48916797.69098016,126862718.0495,60065331.57409527
2013,Mariculture: animals,24700387.87126,24700387.87126,8999755.65411614,132349649.87126,61413952.165181905
2013,Mariculture: plants,27918754,27918754,2791875.4000000004,132349649.87126,61413952.165181905
2013,Wild fisheries,79730508,65379016.56,49622321.11106576,132349649.87126,61413952.165181905
